OrderID,CustomerID,OrderDate,OrderStatus,TotalAmount
"ORD-50057","CUST-1057","2025-06-05","Delivered","8068.28"
"ORD-50058","CUST-1085","2023-12-16","Shipped","13736.21"
"ORD-50059","CUST-1372","2023-08-07","Shipped","40302.1"
"ORD-50060","CUST-1109","2024-09-11","Shipped","40362.81"
"ORD-50061","CUST-1648","2023-09-18","Delivered","41295.64"
"ORD-50062","CUST-1550","2026-04-04","Delivered","9893.58"
"ORD-50063","CUST-1682","2024-12-03","Pending","47373.03"
"ORD-50064","CUST-1288","2026-03-01","Shipped","29878.6"
"ORD-50065","CUST-1247","2025-07-14","Pending","9212.96"
"ORD-50066","CUST-1040","2023-12-09","Cancelled","33212.62"
"ORD-50067","CUST-1651","2024-04-26","Cancelled","13711.7"
"ORD-50068","CUST-1698","2024-01-26","Cancelled","64627.07"
"ORD-50069","CUST-1498","2023-01-04","Processing","13988.28"
"ORD-50070","CUST-1230","2025-10-02","Pending","16414.97"
"ORD-50071","CUST-1045","2025-03-08","Shipped","17371.67"
"ORD-50072","CUST-1159","2024-11-19","Pending","44210.57"
"ORD-50073","CUST-1637","2025-06-23","Cancelled","34418.38"
"ORD-50074","CUST-1120","2026-04-20","Delivered","36019.57"
"ORD-50075","CUST-1591","2026-03-21","Processing","38143.33"
"ORD-50076","CUST-1368","2026-03-14","Processing","19999.51"
"ORD-50077","CUST-1739","2026-02-26","Shipped","48781.63"
"ORD-50078","CUST-1621","2023-01-20","Processing","5376.86"
"ORD-50079","CUST-1660","2025-08-25","Pending","15709.01"
"ORD-50080","CUST-1366","2024-05-18","Cancelled","18628.23"
"ORD-50081","CUST-1558","2025-04-11","Pending","65705.36"
"ORD-50082","CUST-1154","2023-06-07","Processing","7316.54"
"ORD-50083","CUST-1182","2024-04-12","Processing","17671.66"
"ORD-50084","CUST-1377","2026-01-24","Delivered","73293.06"
"ORD-50085","CUST-1017","2023-12-06","Processing","76639.83"
"ORD-50086","CUST-1479","2024-02-05","Cancelled","11834.75"
"ORD-50087","CUST-1045","2023-06-23","Delivered","39231.66"
"ORD-50088","CUST-1267","2026-04-07","Cancelled","13148.75"
"ORD-50089","CUST-1660","2023-04-19","Processing","32853.63"
"ORD-50090","CUST-1523","2026-03-23","Processing","6973.8"
"ORD-50091","CUST-1720","2023-03-05","Shipped","5743.68"
"ORD-50092","CUST-1718","2024-12-09","Cancelled","7525.22"
"ORD-50093","CUST-1194","2024-07-04","Delivered","21754.76"
"ORD-50094","CUST-1149","2023-10-11","Pending","9630.54"
"ORD-50095","CUST-1039","2025-07-14","Shipped","41620.67"
"ORD-50096","CUST-1164","2024-12-26","Cancelled","19162.91"
"ORD-50097","CUST-1766","2025-02-20","Processing","42495.9"
"ORD-50098","CUST-1283","2026-01-25","Shipped","19261.08"
"ORD-50099","CUST-1006","2025-12-11","Cancelled","40748.63"
"ORD-50100","CUST-1645","2023-03-27","Cancelled","7316.54"
"ORD-50101","CUST-1393","2024-06-19","Shipped","43564.7"
"ORD-50102","CUST-1261","2024-08-15","Cancelled","25828.57"
"ORD-50103","CUST-1652","2023-08-17","Cancelled","38367.73"
"ORD-50104","CUST-1659","2026-05-04","Processing","9546.32"
"ORD-50105","CUST-1551","2023-12-09","Cancelled","22363.6"
"ORD-50106","CUST-1664","2023-10-26","Shipped","36902.52"
"ORD-50107","CUST-1008","2024-10-24","Pending","19574.5"
"ORD-50108","CUST-1531","2026-01-14","Delivered","25070.04"
"ORD-50109","CUST-1718","2023-09-30","Shipped","14837.31"
"ORD-50110","CUST-1123","2023-11-10","Delivered","40314.52"
"ORD-50111","CUST-1138","2025-07-09","Cancelled","6209.41"
"ORD-50112","CUST-1158","2024-08-20","Cancelled","16598.51"
"ORD-50113","CUST-1576","2023-10-03","Cancelled","40072.64"
"ORD-50114","CUST-1380","2023-05-22","Cancelled","26368.92"
"ORD-50115","CUST-1321","2023-10-11","Shipped","19261.08"
"ORD-50116","CUST-1529","2023-04-25","Delivered","36030.55"
"ORD-50117","CUST-1048","2026-02-15","Delivered","10943.52"
"ORD-50118","CUST-1595","2024-09-03","Pending","47850.6"
"ORD-50119","CUST-1698","2025-07-14","Cancelled","42283.98"
"ORD-50120","CUST-1248","2024-06-12","Processing","4662.76"
"ORD-50121","CUST-1563","2026-02-21","Pending","29432.37"
"ORD-50122","CUST-1516","2023-02-23","Pending","8255.4"
"ORD-50123","CUST-1644","2023-02-25","Cancelled","48862"
"ORD-50124","CUST-1093","2024-03-04","Shipped","25649.97"
"ORD-50125","CUST-1444","2024-08-03","Pending","10943.52"
"ORD-50126","CUST-1232","2024-06-03","Processing","23437"
"ORD-50127","CUST-1715","2023-07-30","Shipped","47136.54"
"ORD-50128","CUST-1073","2025-01-08","Cancelled","21743.71"
"ORD-50129","CUST-1124","2025-03-20","Pending","15564.54"
"ORD-50130","CUST-1715","2023-06-14","Delivered","39035.83"
"ORD-50131","CUST-1194","2025-01-17","Pending","14244.89"
"ORD-50132","CUST-1710","2024-07-06","Processing","37248.37"
"ORD-50133","CUST-1753","2025-04-16","Cancelled","19801.03"
"ORD-50134","CUST-1784","2026-03-26","Pending","7371.46"
"ORD-50135","CUST-1126","2024-12-03","Processing","40937.88"
"ORD-50136","CUST-1174","2024-10-08","Cancelled","24589.83"
"ORD-50137","CUST-1431","2025-10-06","Cancelled","13882.32"
"ORD-50138","CUST-1451","2025-07-25","Shipped","18206.83"
"ORD-50139","CUST-1212","2024-03-31","Cancelled","8624.57"
"ORD-50140","CUST-1109","2023-01-19","Pending","38672.32"
"ORD-50141","CUST-1151","2024-01-24","Delivered","17998.98"
"ORD-50142","CUST-1537","2026-02-06","Processing","20777.13"
"ORD-50143","CUST-1667","2024-03-22","Shipped","45742.1"
"ORD-50144","CUST-1347","2025-12-12","Cancelled","3566.69"
"ORD-50145","CUST-1152","2023-04-28","Cancelled","30713.29"
"ORD-50146","CUST-1396","2025-06-24","Processing","17725.89"
"ORD-50147","CUST-1011","2024-06-13","Pending","7393.69"
"ORD-50148","CUST-1661","2023-08-04","Processing","2974.74"
"ORD-50149","CUST-1417","2023-02-18","Delivered","39155.4"
"ORD-50150","CUST-1737","2025-07-02","Cancelled","19960.51"
"ORD-50151","CUST-1665","2025-12-05","Delivered","19261.08"
"ORD-50152","CUST-1480","2024-07-16","Processing","46138.9"
"ORD-50153","CUST-1725","2023-05-05","Processing","52133.22"
"ORD-50154","CUST-1156","2025-05-23","Cancelled","31237.02"
"ORD-50155","CUST-1436","2023-07-01","Pending","15584.4"
"ORD-50156","CUST-1122","2023-10-07","Cancelled","42859.74"
"ORD-50157","CUST-1776","2023-05-26","Shipped","8999.49"
"ORD-50158","CUST-1265","2026-01-30","Delivered","4606.48"
"ORD-50159","CUST-1042","2023-01-15","Delivered","34874.21"
"ORD-50160","CUST-1238","2024-07-22","Cancelled","45619.41"
"ORD-50161","CUST-1192","2023-09-05","Delivered","46723.8"
"ORD-50162","CUST-1793","2024-07-24","Processing","5965.66"
"ORD-50163","CUST-1699","2024-06-08","Shipped","3361.5"
"ORD-50164","CUST-1741","2023-03-31","Delivered","35651.28"
"ORD-50165","CUST-1446","2024-10-02","Processing","21876.3"
"ORD-50166","CUST-1253","2023-09-20","Delivered","21329.68"
"ORD-50167","CUST-1634","2024-11-20","Delivered","19664.79"
"ORD-50168","CUST-1265","2023-06-28","Cancelled","33446.65"
"ORD-50169","CUST-1081","2023-09-22","Pending","28884.18"
"ORD-50170","CUST-1085","2026-01-25","Delivered","89660.51"
"ORD-50171","CUST-1247","2024-08-02","Shipped","30549.31"
"ORD-50172","CUST-1741","2024-11-18","Shipped","55284.22"
"ORD-50173","CUST-1757","2023-08-05","Pending","61332.14"
"ORD-50174","CUST-1641","2023-04-14","Shipped","41711.19"
"ORD-50175","CUST-1124","2025-12-12","Processing","10753.72"
"ORD-50176","CUST-1054","2023-09-24","Cancelled","37648.1"
"ORD-50177","CUST-1734","2025-09-23","Cancelled","34268.5"
"ORD-50178","CUST-1165","2023-03-07","Shipped","6759.11"
"ORD-50179","CUST-1046","2026-02-19","Shipped","79329.16"
"ORD-50180","CUST-1375","2025-02-26","Shipped","3566.69"
"ORD-50181","CUST-1763","2023-03-28","Cancelled","5908.63"
"ORD-50182","CUST-1672","2024-10-19","Pending","15095.79"
"ORD-50183","CUST-1333","2025-09-24","Pending","34062.65"
"ORD-50184","CUST-1658","2023-10-20","Shipped","60032.9"
"ORD-50185","CUST-1212","2024-09-29","Delivered","61854.51"
"ORD-50186","CUST-1322","2024-12-23","Processing","15095.79"
"ORD-50187","CUST-1117","2025-08-06","Processing","41089.52"
"ORD-50188","CUST-1081","2026-02-09","Processing","40095.22"
"ORD-50189","CUST-1224","2025-02-09","Pending","33451.99"
"ORD-50190","CUST-1656","2025-02-03","Delivered","11539.81"
"ORD-50191","CUST-1165","2026-01-03","Processing","62297.43"
"ORD-50192","CUST-1343","2025-07-17","Shipped","29853.04"
"ORD-50193","CUST-1687","2026-02-17","Processing","3361.5"
"ORD-50194","CUST-1392","2024-08-26","Pending","42151.75"
"ORD-50195","CUST-1287","2025-06-19","Shipped","38172.76"
"ORD-50196","CUST-1430","2023-03-14","Delivered","11500.14"
"ORD-50197","CUST-1124","2025-11-24","Delivered","4662.76"
"ORD-50198","CUST-1404","2023-01-27","Delivered","38500.07"
"ORD-50199","CUST-1705","2023-07-14","Cancelled","28304.64"
"ORD-50200","CUST-1774","2023-12-09","Shipped","34367.77"
"ORD-50201","CUST-1348","2025-09-03","Cancelled","36704.64"
"ORD-50202","CUST-1666","2025-11-07","Pending","27074.1"
"ORD-50203","CUST-1610","2025-04-14","Processing","15948.52"
"ORD-50204","CUST-1731","2025-08-07","Pending","16130.58"
"ORD-50205","CUST-1014","2024-09-30","Processing","24857.25"
"ORD-50206","CUST-1193","2025-06-29","Cancelled","6162.95"
"ORD-50207","CUST-1370","2025-01-12","Pending","21503.22"
"ORD-50208","CUST-1205","2024-09-16","Delivered","2871.84"
"ORD-50209","CUST-1246","2024-11-30","Processing","45144.37"
"ORD-50210","CUST-1090","2025-11-06","Shipped","20249.7"
"ORD-50211","CUST-1391","2023-06-14","Delivered","30628.69"
"ORD-50212","CUST-1725","2025-12-23","Processing","9502.54"
"ORD-50213","CUST-1735","2023-03-05","Delivered","5743.68"
"ORD-50214","CUST-1425","2023-05-29","Shipped","9325.52"
"ORD-50215","CUST-1017","2023-07-06","Pending","22114.38"
"ORD-50216","CUST-1644","2025-11-15","Delivered","10700.07"
"ORD-50217","CUST-1554","2023-02-24","Pending","18389.21"
"ORD-50218","CUST-1257","2024-12-31","Cancelled","58550.6"
"ORD-50219","CUST-1148","2024-08-16","Delivered","34345.9"
"ORD-50220","CUST-1597","2025-02-09","Shipped","20421.75"
"ORD-50221","CUST-1321","2025-08-31","Pending","19566.4"
"ORD-50222","CUST-1383","2023-05-10","Delivered","14742.92"
"ORD-50223","CUST-1396","2025-11-07","Shipped","16383.38"
"ORD-50224","CUST-1169","2023-05-25","Pending","50869.09"
"ORD-50225","CUST-1464","2024-02-08","Pending","27491.24"
"ORD-50226","CUST-1685","2024-05-05","Processing","51465.94"
"ORD-50227","CUST-1168","2025-06-07","Shipped","50726.36"
"ORD-50228","CUST-1376","2023-06-04","Shipped","41709.09"
"ORD-50229","CUST-1324","2023-03-24","Pending","23972.67"
"ORD-50230","CUST-1629","2025-03-03","Cancelled","41934.29"
"ORD-50231","CUST-1049","2026-03-25","Shipped","5376.86"
"ORD-50232","CUST-1074","2025-01-04","Processing","35997.96"
"ORD-50233","CUST-1017","2025-02-17","Delivered","64512.8"
"ORD-50234","CUST-1005","2024-07-28","Shipped","51178.84"
"ORD-50235","CUST-1550","2023-07-01","Cancelled","23618.82"
"ORD-50236","CUST-1279","2023-01-27","Shipped","52884.85"
"ORD-50237","CUST-1300","2026-04-19","Processing","50740.88"
"ORD-50238","CUST-1055","2025-10-31","Delivered","44046.99"
"ORD-50239","CUST-1332","2025-12-06","Cancelled","34148.04"
"ORD-50240","CUST-1432","2025-02-20","Processing","24236.08"
"ORD-50241","CUST-1783","2025-03-27","Delivered","64588.32"
"ORD-50242","CUST-1331","2023-03-08","Shipped","23374.64"
"ORD-50243","CUST-1744","2024-12-10","Delivered","28530.15"
"ORD-50244","CUST-1800","2023-03-20","Delivered","26882.94"
"ORD-50245","CUST-1568","2025-08-26","Delivered","54339.03"
"ORD-50246","CUST-1609","2023-09-25","Pending","29125.99"
"ORD-50247","CUST-1214","2024-12-23","Pending","38971.57"
"ORD-50248","CUST-1422","2025-06-02","Pending","18023.84"
"ORD-50249","CUST-1770","2024-12-07","Processing","77089.75"
"ORD-50250","CUST-1439","2023-02-15","Cancelled","27550.95"
"ORD-50251","CUST-1089","2025-05-16","Cancelled","34333.95"
"ORD-50252","CUST-1090","2023-08-19","Cancelled","44863.29"
"ORD-50253","CUST-1178","2025-08-24","Cancelled","29426.72"
"ORD-50254","CUST-1418","2024-05-11","Delivered","50429"
"ORD-50255","CUST-1494","2024-02-28","Pending","39676.16"
"ORD-50256","CUST-1666","2024-12-31","Pending","49150.64"
"ORD-50257","CUST-1279","2025-08-20","Processing","9630.54"
"ORD-50258","CUST-1358","2026-03-28","Cancelled","2152.63"
"ORD-50259","CUST-1678","2023-05-19","Delivered","40350.63"
"ORD-50260","CUST-1345","2024-09-18","Cancelled","40194.92"
"ORD-50261","CUST-1188","2025-12-24","Cancelled","8615.52"
"ORD-50262","CUST-1355","2024-02-16","Pending","26373.62"
"ORD-50263","CUST-1002","2023-07-08","Delivered","13988.28"
"ORD-50264","CUST-1075","2025-02-19","Shipped","23097.13"
"ORD-50265","CUST-1141","2025-01-23","Cancelled","11817.26"
"ORD-50266","CUST-1656","2023-05-18","Cancelled","26488.06"
"ORD-50267","CUST-1010","2023-11-10","Cancelled","41913.84"
"ORD-50268","CUST-1336","2025-02-17","Cancelled","2432.73"
"ORD-50269","CUST-1146","2024-05-22","Pending","40011.36"
"ORD-50270","CUST-1275","2025-09-28","Cancelled","24208.39"
"ORD-50271","CUST-1645","2023-03-24","Delivered","36085.72"
"ORD-50272","CUST-1720","2025-06-20","Cancelled","28003.22"
"ORD-50273","CUST-1357","2023-06-12","Pending","22305.59"
"ORD-50274","CUST-1319","2024-12-22","Processing","19574.5"
"ORD-50275","CUST-1741","2023-10-05","Delivered","22359.09"
"ORD-50276","CUST-1737","2026-01-13","Pending","36268.33"
"ORD-50277","CUST-1568","2025-04-11","Delivered","10943.52"
"ORD-50278","CUST-1290","2023-06-22","Cancelled","11953.09"
"ORD-50279","CUST-1363","2025-03-13","Pending","22434.96"
"ORD-50280","CUST-1494","2025-08-03","Delivered","37441.91"
"ORD-50281","CUST-1023","2026-03-11","Cancelled","17641.63"
"ORD-50282","CUST-1374","2025-06-30","Delivered","17654.06"
"ORD-50283","CUST-1420","2024-01-24","Shipped","31596.05"
"ORD-50284","CUST-1561","2023-05-09","Delivered","51035.65"
"ORD-50285","CUST-1718","2023-05-12","Shipped","6614.74"
"ORD-50286","CUST-1430","2023-12-23","Pending","33468.39"
"ORD-50287","CUST-1110","2026-01-29","Cancelled","26189.78"
"ORD-50288","CUST-1639","2026-01-22","Cancelled","12135.15"
"ORD-50289","CUST-1169","2023-04-09","Pending","59034.54"
"ORD-50290","CUST-1505","2024-10-14","Processing","30378.99"
"ORD-50291","CUST-1443","2024-06-09","Delivered","53866.8"
"ORD-50292","CUST-1345","2023-11-11","Pending","41177.01"
"ORD-50293","CUST-1026","2025-03-02","Cancelled","9100.96"
"ORD-50294","CUST-1146","2025-04-05","Cancelled","13819.44"
"ORD-50295","CUST-1610","2023-08-29","Processing","33779.69"
"ORD-50296","CUST-1434","2025-08-18","Delivered","33502.55"
"ORD-50297","CUST-1666","2025-08-31","Pending","4080.39"
"ORD-50298","CUST-1713","2025-02-03","Shipped","24650.87"
"ORD-50299","CUST-1708","2025-05-02","Processing","12930.55"
"ORD-50300","CUST-1176","2025-04-29","Processing","40822.94"
"ORD-50301","CUST-1285","2023-03-09","Delivered","48269.7"
"ORD-50302","CUST-1555","2023-06-25","Cancelled","3510.87"
"ORD-50303","CUST-1706","2024-02-25","Delivered","12418.82"
"ORD-50304","CUST-1352","2025-12-12","Pending","6457.89"
"ORD-50305","CUST-1059","2026-01-07","Processing","28304.64"
"ORD-50306","CUST-1210","2024-08-31","Processing","9630.54"
"ORD-50307","CUST-1476","2023-06-02","Pending","22528.03"
"ORD-50308","CUST-1087","2025-04-13","Processing","25132.52"
"ORD-50309","CUST-1717","2025-06-22","Shipped","33439.7"
"ORD-50310","CUST-1064","2024-06-04","Delivered","29603.04"
"ORD-50311","CUST-1238","2023-05-25","Cancelled","4462.11"
"ORD-50312","CUST-1605","2023-06-08","Delivered","10753.72"
"ORD-50313","CUST-1413","2025-12-29","Cancelled","45847.87"
"ORD-50314","CUST-1097","2026-02-06","Delivered","33392.39"
"ORD-50315","CUST-1576","2026-05-06","Shipped","34070.5"
"ORD-50316","CUST-1310","2023-03-01","Processing","15456.46"
"ORD-50317","CUST-1722","2024-01-20","Delivered","21305.2"
"ORD-50318","CUST-1079","2025-12-08","Shipped","41277.72"
"ORD-50319","CUST-1292","2025-08-03","Cancelled","50809.49"
"ORD-50320","CUST-1613","2026-04-07","Pending","10943.52"
"ORD-50321","CUST-1126","2023-08-06","Shipped","7298.19"
"ORD-50322","CUST-1033","2023-10-06","Delivered","24245.46"
"ORD-50323","CUST-1608","2025-06-21","Processing","30073.23"
"ORD-50324","CUST-1227","2025-09-09","Processing","38299.31"
"ORD-50325","CUST-1766","2025-05-19","Pending","33105.22"
"ORD-50326","CUST-1129","2025-06-03","Processing","20169.6"
"ORD-50327","CUST-1242","2026-02-12","Cancelled","13651.44"
"ORD-50328","CUST-1553","2024-10-30","Cancelled","10974.81"
"ORD-50329","CUST-1723","2023-04-02","Processing","19005.08"
"ORD-50330","CUST-1008","2024-09-15","Processing","31589.26"
"ORD-50331","CUST-1737","2025-08-25","Delivered","43807.75"
"ORD-50332","CUST-1436","2023-03-05","Shipped","40139.67"
"ORD-50333","CUST-1493","2023-02-14","Shipped","28526.61"
"ORD-50334","CUST-1511","2025-09-15","Shipped","33291.25"
"ORD-50335","CUST-1003","2024-11-16","Processing","10389.6"
"ORD-50336","CUST-1617","2024-11-13","Pending","2871.84"
"ORD-50337","CUST-1388","2023-11-22","Delivered","30593.5"
"ORD-50338","CUST-1150","2023-03-27","Pending","17153.28"
"ORD-50339","CUST-1498","2024-04-22","Delivered","34135.27"
"ORD-50340","CUST-1784","2024-07-11","Cancelled","29183.09"
"ORD-50341","CUST-1163","2023-04-14","Processing","16907.87"
"ORD-50342","CUST-1783","2023-11-19","Delivered","14742.92"
"ORD-50343","CUST-1209","2023-01-08","Processing","12182.21"
"ORD-50344","CUST-1712","2023-02-23","Delivered","22311.13"
"ORD-50345","CUST-1259","2025-04-27","Delivered","38678.87"
"ORD-50346","CUST-1168","2023-11-16","Processing","17946.45"
"ORD-50347","CUST-1613","2024-08-29","Shipped","36552.47"
"ORD-50348","CUST-1408","2024-10-15","Cancelled","7298.19"
"ORD-50349","CUST-1494","2024-08-30","Processing","25226.74"
"ORD-50350","CUST-1394","2023-04-10","Processing","32835.81"
"ORD-50351","CUST-1566","2023-05-28","Shipped","59263.98"
"ORD-50352","CUST-1290","2024-10-28","Shipped","12418.82"
"ORD-50353","CUST-1634","2026-01-05","Delivered","18337.44"
"ORD-50354","CUST-1639","2023-10-08","Delivered","12168.6"
"ORD-50355","CUST-1662","2024-05-04","Shipped","53326.21"
"ORD-50356","CUST-1313","2025-12-15","Pending","6614.74"
"ORD-50357","CUST-1543","2024-10-23","Cancelled","19657.38"
"ORD-50358","CUST-1240","2025-01-21","Delivered","43627.1"
"ORD-50359","CUST-1327","2023-04-06","Processing","20853.84"
"ORD-50360","CUST-1354","2023-04-29","Shipped","40747.19"
"ORD-50361","CUST-1452","2023-03-06","Pending","7021.74"
"ORD-50362","CUST-1772","2025-09-26","Shipped","33541.24"
"ORD-50363","CUST-1490","2023-08-14","Delivered","28507.62"
"ORD-50364","CUST-1052","2023-12-05","Cancelled","57138.92"
"ORD-50365","CUST-1568","2024-10-03","Delivered","5031.93"
"ORD-50366","CUST-1435","2023-08-06","Processing","78704.95"
"ORD-50367","CUST-1308","2025-09-18","Processing","9502.54"
"ORD-50368","CUST-1366","2024-09-26","Processing","26267.32"
"ORD-50369","CUST-1298","2026-02-24","Processing","36858.41"
"ORD-50370","CUST-1023","2025-12-17","Cancelled","44100.96"
"ORD-50371","CUST-1308","2026-04-14","Shipped","4649.2"
"ORD-50372","CUST-1067","2023-06-21","Cancelled","28470.33"
"ORD-50373","CUST-1131","2024-05-09","Pending","24191.93"
"ORD-50374","CUST-1687","2026-03-18","Delivered","11817.26"
"ORD-50375","CUST-1622","2025-03-24","Cancelled","3361.5"
"ORD-50376","CUST-1234","2023-10-20","Shipped","31900.4"
"ORD-50377","CUST-1271","2023-11-05","Delivered","32542.45"
"ORD-50378","CUST-1403","2025-08-20","Shipped","31681.73"
"ORD-50379","CUST-1313","2025-04-30","Processing","39276.93"
"ORD-50380","CUST-1554","2024-12-22","Cancelled","4550.48"
"ORD-50381","CUST-1717","2025-03-12","Shipped","46185.38"
"ORD-50382","CUST-1435","2025-06-02","Shipped","36420.96"
"ORD-50383","CUST-1793","2023-01-20","Shipped","53725.48"
"ORD-50384","CUST-1248","2024-09-05","Processing","28523.14"
"ORD-50385","CUST-1372","2025-06-17","Delivered","36379.95"
"ORD-50386","CUST-1324","2024-01-21","Shipped","4662.76"
"ORD-50387","CUST-1376","2024-01-15","Delivered","29915.81"
"ORD-50388","CUST-1788","2025-04-27","Delivered","27035.76"
"ORD-50389","CUST-1255","2025-03-05","Shipped","30222.28"
"ORD-50390","CUST-1526","2024-10-09","Cancelled","53983.5"
"ORD-50391","CUST-1532","2026-01-26","Shipped","24289.31"
"ORD-50392","CUST-1543","2026-05-15","Shipped","55725.09"
"ORD-50393","CUST-1657","2024-08-10","Processing","4462.11"
"ORD-50394","CUST-1398","2023-01-14","Delivered","38066.25"
"ORD-50395","CUST-1310","2023-08-27","Shipped","56229.36"
"ORD-50396","CUST-1155","2024-02-18","Shipped","23167.14"
"ORD-50397","CUST-1649","2025-10-10","Pending","43569.32"
"ORD-50398","CUST-1001","2024-11-20","Processing","18869.76"
"ORD-50399","CUST-1039","2024-02-05","Shipped","20540.97"
"ORD-50400","CUST-1157","2024-09-28","Delivered","35924.01"
"ORD-50401","CUST-1222","2025-04-03","Delivered","18538.48"
"ORD-50402","CUST-1305","2025-07-15","Pending","20022.02"
"ORD-50403","CUST-1384","2026-02-04","Cancelled","7298.19"
"ORD-50404","CUST-1513","2024-06-13","Processing","17675"
"ORD-50405","CUST-1381","2025-05-23","Processing","10900.64"
"ORD-50406","CUST-1753","2023-11-27","Pending","18369.92"
"ORD-50407","CUST-1104","2025-10-26","Delivered","42573.59"
"ORD-50408","CUST-1598","2025-07-28","Processing","25649.97"
"ORD-50409","CUST-1272","2025-10-27","Processing","35174.94"
"ORD-50410","CUST-1607","2023-11-05","Pending","23561.38"
"ORD-50411","CUST-1254","2024-03-07","Pending","45525.86"
"ORD-50412","CUST-1619","2025-05-31","Pending","17998.98"
"ORD-50413","CUST-1555","2023-11-14","Delivered","18023.84"
"ORD-50414","CUST-1598","2025-03-04","Processing","68699.59"
"ORD-50415","CUST-1784","2023-10-06","Processing","47499.35"
"ORD-50416","CUST-1440","2026-01-26","Delivered","23375.84"
"ORD-50417","CUST-1653","2023-03-22","Processing","10243.34"
"ORD-50418","CUST-1796","2025-05-04","Processing","5194.8"
"ORD-50419","CUST-1254","2025-02-28","Pending","7133.38"
"ORD-50420","CUST-1112","2025-10-08","Processing","23310.34"
"ORD-50421","CUST-1015","2024-03-14","Delivered","6162.95"
"ORD-50422","CUST-1430","2025-04-30","Delivered","25924.99"
"ORD-50423","CUST-1764","2024-01-26","Shipped","6162.95"
"ORD-50424","CUST-1045","2023-02-08","Pending","29040.09"
